name,GW,total_points
Alexandre_Lacazette_12,30,1
Alexandre_Lacazette_12,31,4
Alexandre_Lacazette_12,32,2
Alexandre_Lacazette_12,33,8
Alexandre_Lacazette_12,34,2
Alexandre_Lacazette_12,35,6
Alexandre_Lacazette_12,36,11
Alexandre_Lacazette_12,37,1
Alexandre_Lacazette_12,38,4
Alexis_Mac Allister_627,29,1
Alexis_Mac Allister_627,30,1
Alexis_Mac Allister_627,31,1
Alexis_Mac Allister_627,32,2
Alexis_Mac Allister_627,33,1
Alexis_Mac Allister_627,34,2
Alexis_Mac Allister_627,36,1
Alexis_Mac Allister_627,37,1
Alexis_Mac Allister_627,38,2
Alireza_Jahanbakhsh_50,16,1
Alireza_Jahanbakhsh_50,20,8
Alireza_Jahanbakhsh_50,21,8
Alireza_Jahanbakhsh_50,22,2
Alireza_Jahanbakhsh_50,24,1
Alireza_Jahanbakhsh_50,26,4
Alireza_Jahanbakhsh_50,28,1
Alireza_Jahanbakhsh_50,29,1
Alireza_Jahanbakhsh_50,35,1
Alireza_Jahanbakhsh_50,38,1
Alisson_Ramses Becker_189,1,1
Alisson_Ramses Becker_189,9,2
Alisson_Ramses Becker_189,10,3
Alisson_Ramses Becker_189,11,2
Alisson_Ramses Becker_189,12,2
Alisson_Ramses Becker_189,13,3
Alisson_Ramses Becker_189,14,-1
Alisson_Ramses Becker_189,16,6
Alisson_Ramses Becker_189,17,6
Alisson_Ramses Becker_189,19,6
Alisson_Ramses Becker_189,20,6
Alisson_Ramses Becker_189,21,6
Alisson_Ramses Becker_189,22,9
Alisson_Ramses Becker_189,23,13
Alisson_Ramses Becker_189,24,2
Alisson_Ramses Becker_189,24,7
Alisson_Ramses Becker_189,25,8
Alisson_Ramses Becker_189,26,6
Alisson_Ramses Becker_189,27,1
Alisson_Ramses Becker_189,28,1
Alisson_Ramses Becker_189,30,10
Alisson_Ramses Becker_189,31,6
Alisson_Ramses Becker_189,32,0
Alisson_Ramses Becker_189,33,9
Alisson_Ramses Becker_189,34,2
Alisson_Ramses Becker_189,35,2
Alisson_Ramses Becker_189,36,1
Alisson_Ramses Becker_189,37,1
Alisson_Ramses Becker_189,38,2
Allan_Saint-Maximin_500,1,1
Allan_Saint-Maximin_500,3,1
Allan_Saint-Maximin_500,6,1
Allan_Saint-Maximin_500,8,3
Allan_Saint-Maximin_500,9,2
Allan_Saint-Maximin_500,10,2
Allan_Saint-Maximin_500,11,2
Allan_Saint-Maximin_500,12,5
Allan_Saint-Maximin_500,13,2
Allan_Saint-Maximin_500,14,2
Allan_Saint-Maximin_500,15,8
Allan_Saint-Maximin_500,16,2
Allan_Saint-Maximin_500,23,6
Allan_Saint-Maximin_500,25,3
Allan_Saint-Maximin_500,26,2
Allan_Saint-Maximin_500,27,2
Allan_Saint-Maximin_500,28,1
Allan_Saint-Maximin_500,29,10
Allan_Saint-Maximin_500,30,10
Allan_Saint-Maximin_500,31,2
