name,GW,points,form
Alisson_Ramses Becker_189,31,6,3.0
Alisson_Ramses Becker_189,32,0,4.25
Alisson_Ramses Becker_189,33,9,4.0
Alisson_Ramses Becker_189,34,2,6.25
Alisson_Ramses Becker_189,35,2,4.25
Alisson_Ramses Becker_189,36,1,3.25
Alisson_Ramses Becker_189,37,1,3.5
Alisson_Ramses Becker_189,38,2,1.5
Allan_Saint-Maximin_500,1,1,0.0
Allan_Saint-Maximin_500,3,1,0.5
Allan_Saint-Maximin_500,6,1,0.25
Allan_Saint-Maximin_500,8,3,0.25
Allan_Saint-Maximin_500,9,2,1.0
Allan_Saint-Maximin_500,10,2,1.5
Allan_Saint-Maximin_500,11,2,1.75
Allan_Saint-Maximin_500,12,5,2.25
Allan_Saint-Maximin_500,13,2,2.75
Allan_Saint-Maximin_500,14,2,2.75
Allan_Saint-Maximin_500,15,8,2.75
Allan_Saint-Maximin_500,16,2,4.25
Allan_Saint-Maximin_500,23,6,0.0
Allan_Saint-Maximin_500,25,3,1.5
Allan_Saint-Maximin_500,26,2,2.25
Allan_Saint-Maximin_500,27,2,2.75
Allan_Saint-Maximin_500,28,1,1.75
Allan_Saint-Maximin_500,29,10,2.0
Allan_Saint-Maximin_500,30,10,3.75
Allan_Saint-Maximin_500,31,2,5.75
Allan_Saint-Maximin_500,32,15,5.75
Allan_Saint-Maximin_500,33,2,9.25
Allan_Saint-Maximin_500,35,2,4.75
