name,GW,points,form
Alexander_Sørloth_153,8,1,0.75
Alexander_Sørloth_153,10,1,0.75
Alexander_Sørloth_153,12,1,0.5
Alexander_Sørloth_153,14,1,0.5
Alexander_Sørloth_153,15,1,0.5
Alexander_Sørloth_153,17,1,0.5
Alexandre Nascimento_Costa Silva_560,20,1,0.0
Alexandre_Lacazette_22,1,1,0.0
Alexandre_Lacazette_22,2,1,1.0
Alexandre_Lacazette_22,3,4,1.0
Alexandre_Lacazette_22,4,12,2.0
Alexandre_Lacazette_22,5,5,4.5
Alexandre_Lacazette_22,6,8,5.5
Alexandre_Lacazette_22,7,5,7.25
Alexandre_Lacazette_22,8,12,7.5
Alexandre_Lacazette_22,9,2,7.5
Alexandre_Lacazette_22,10,2,6.75
Alexandre_Lacazette_22,11,6,5.25
Alexandre_Lacazette_22,12,2,5.5
Alexandre_Lacazette_22,14,7,2.5
Alexandre_Lacazette_22,15,4,3.75
Alexandre_Lacazette_22,16,1,3.25
Alexandre_Lacazette_22,17,4,3.0
Alexandre_Lacazette_22,18,5,4.0
Alexandre_Lacazette_22,19,6,3.5
Alexandre_Lacazette_22,20,1,4.0
Alexandre_Lacazette_22,21,6,4.0
Alexandre_Lacazette_22,22,2,4.5
Alexandre_Lacazette_22,23,8,3.75
Alexandre_Lacazette_22,24,7,4.25
Alexandre_Lacazette_22,25,2,5.75
Alexandre_Lacazette_22,26,9,4.75
Alexandre_Lacazette_22,27,7,6.5
Alexandre_Lacazette_22,28,5,6.25
Alexandre_Lacazette_22,29,4,5.75
Alexandre_Lacazette_22,30,8,6.25
Alexandre_Lacazette_22,32,7,4.25
Alexandre_Lacazette_22,33,2,4.75
Alexandre_Lacazette_22,35,2,2.25
Alexandre_Lacazette_22,35,5,2.75
Alexandre_Lacazette_22,36,2,4.0
Alexandre_Lacazette_22,37,2,2.75
Alexis_Sánchez_295,1,5,0.0
Alexis_Sánchez_295,3,1,2.5
Alexis_Sánchez_295,4,5,2.0
Alexis_Sánchez_295,5,2,2.75
Alexis_Sánchez_295,6,2,2.0
Alexis_Sánchez_295,8,7,2.25
Alexis_Sánchez_295,9,0,2.75
Alexis_Sánchez_295,11,5,1.75
Alexis_Sánchez_295,12,1,3.0
Alexis_Sánchez_295,13,1,1.5
Alexis_Sánchez_295,21,4,0.0
Alexis_Sánchez_295,24,4,1.0
Alexis_Sánchez_295,25,3,2.0
Alexis_Sánchez_295,26,1,1.75
Alexis_Sánchez_295,27,1,2.0
Alexis_Sánchez_295,28,1,2.25
Alexis_Sánchez_295,29,1,1.5
Alexis_Sánchez_295,35,1,0.0
Alexis_Sánchez_295,36,1,0.25
Alexis_Sánchez_295,37,1,0.5
Alfie_Mawson_487,4,1,0.0
Alfie_Mawson_487,5,1,0.25
Alfie_Mawson_487,6,0,0.5
Alfie_Mawson_487,9,0,0.25
Alfie_Mawson_487,12,1,0.0
Alfie_Mawson_487,13,0,0.25
Alfie_Mawson_487,14,1,0.25
Alfie_Mawson_487,15,2,0.5
Alfie_Mawson_487,16,0,1.0
Alfie_Mawson_487,17,1,0.75
Alfie_Mawson_487,18,8,1.0
Alfie_Mawson_487,19,2,2.75
Alfie_Mawson_487,20,1,2.75
Alfie_Mawson_487,36,1,0.0
Alfie_Mawson_487,38,0,0.25
Alireza_Jahanbakhsh_476,1,1,0.0
Alireza_Jahanbakhsh_476,3,1,0.5
